Zeit,Vollständiger Name,Betroffene/r Nutzer/in,Ereigniskontext,Komponente,Ereignisname,Beschreibung,Herkunft,IP-Adresse,Abschlussnote
"01. April 2023, 00:01:00",49DWY,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 49DWY viewed the course with id 23946.,web,217.217.223.243,2.0
"01. April 2023, 00:06:00",2OAJI,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 2OAJI created xxx.,web,179.49.49.55,1.1
"01. April 2023, 02:01:00",14LQJV,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 14LQJV updated xxx.,ws,88.97.255.37,2.7
"01. April 2023, 02:04:00",2OAJI,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 2OAJI created xxx.,cli,179.49.49.55,1.4
"01. April 2023, 02:40:00",19WM89,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 19WM89 updated xxx.,web,179.0.54.180,3.0
"01. April 2023, 03:24:00",20GB9S,7MZMO,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 20GB9S updated xxx.,web,152.124.142.94,2.2
"01. April 2023, 03:27:00",19I42S,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 19I42S created xxx.,web,243.22.106.4,2.9
"01. April 2023, 03:57:00",49DWY,13ESGP,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 49DWY updated xxx.,web,217.217.223.243,2.4
"01. April 2023, 05:24:00",20GB9S,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 20GB9S created xxx.,ws,46.144.137.239,2.5
"01. April 2023, 06:57:00",372V0,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 372V0 created xxx.,web,43.62.43.195,2.3
"01. April 2023, 07:39:00",25NEFW,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 25NEFW created xxx.,web,22.252.23.174,1.5
"01. April 2023, 08:16:00",26CC63,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 26CC63 viewed the course with id 23946.,web,176.170.1.63,2.0
